,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,SBERT_Similarity
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,0.1398,0.4989,0.2843,0.3805,0.3827,0.8913,0.9082,0.8996,0.9861
std,0.0434,0.1013,0.0808,0.0902,0.0735,0.0286,0.0332,0.0301,0.0216
min,0.0167,0.0456,0.0114,0.0388,0.0919,0.7298,0.7197,0.7247,0.8534
25%,0.1195,0.4658,0.2484,0.3444,0.3689,0.8898,0.9053,0.8962,0.9879
median,0.1338,0.5152,0.2814,0.3837,0.3882,0.8957,0.9165,0.9063,0.9901
75%,0.1625,0.5604,0.3412,0.4426,0.417,0.9016,0.9217,0.91,0.9911
max,0.2351,0.6446,0.4471,0.5443,0.5012,0.9219,0.9329,0.9219,0.9936
highest_id,35.0,4.0,4.0,4.0,4.0,36.0,4.0,4.0,37.0
lowest_id,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
