metric,chapter,All_min,All_q1,All_median,All_q3,All_max,All_mean,All_std,All_n,All_best_id,All_best_score,All_worst_id,All_worst_score,form_min,form_q1,form_median,form_q3,form_max,form_mean,form_std,form_n,form_best_id,form_best_score,form_worst_id,form_worst_score,ask_min,ask_q1,ask_median,ask_q3,ask_max,ask_mean,ask_std,ask_n,ask_best_id,ask_best_score,ask_worst_id,ask_worst_score,chat_min,chat_q1,chat_median,chat_q3,chat_max,chat_mean,chat_std,chat_n,chat_best_id,chat_best_score,chat_worst_id,chat_worst_score
BERTScore_Precision,ch1,0.8267,0.8449,0.8538,0.8693,0.905,0.8572,0.0175,115,EHN0215,0.905,TIL1618,0.8267,0.8286,0.8447,0.8526,0.8686,0.8825,0.8556,0.0154,38,NLL0820,0.8825,IHB1316,0.8286,0.8267,0.8471,0.8617,0.8734,0.9018,0.8614,0.0204,38,NIL1922,0.9018,TIL1618,0.8267,0.8317,0.8446,0.8512,0.8609,0.905,0.8548,0.016,39,EHN0215,0.905,PVV2109,0.8317
BERTScore_Precision,ch2,0.0,0.5551,0.5628,0.5704,0.6415,0.5611,0.0559,115,DAB1519,0.6415,UTP0442,0.0,0.0,0.5543,0.5611,0.5656,0.5741,0.545,0.0912,38,NIL1922,0.5741,UTP0442,0.0,0.5401,0.5544,0.5619,0.5777,0.6415,0.5698,0.0252,38,DAB1519,0.6415,SAP2842,0.5401,0.5431,0.5592,0.567,0.572,0.6284,0.5681,0.0163,39,EHJ2314,0.6284,ENB1054,0.5431
BERTScore_Precision,ch3,0.0,0.6607,0.678,0.703,0.808,0.6801,0.0723,115,aea2442,0.808,UTP0442,0.0,0.0,0.6556,0.6676,0.682,0.7235,0.6526,0.1108,38,IHL0436,0.7235,UTP0442,0.0,0.6336,0.6605,0.6749,0.7151,0.808,0.6893,0.0401,38,aea2442,0.808,EHN0215,0.6336,0.6412,0.6743,0.6933,0.721,0.7641,0.6978,0.032,39,EHJ2314,0.7641,DAB1519,0.6412
BERTScore_Precision,ch4,0.0,0.6775,0.6921,0.7203,0.7779,0.6934,0.0719,115,NAB0152,0.7779,UTP0442,0.0,0.0,0.6743,0.6851,0.6934,0.7256,0.6681,0.1127,38,aea2442,0.7256,UTP0442,0.0,0.6477,0.6696,0.6938,0.7232,0.7779,0.6992,0.0349,38,NAB0152,0.7779,EHN0215,0.6477,0.6694,0.6875,0.7048,0.7338,0.7764,0.7123,0.0299,39,EHJ2314,0.7764,PVV2109,0.6694
BERTScore_Precision,ch5,0.0,0.7938,0.8165,0.8509,0.9328,0.8159,0.0876,115,IHB1316,0.9328,UTP0442,0.0,0.0,0.787,0.8105,0.8238,0.9093,0.7922,0.1359,38,AHR0531,0.9093,UTP0442,0.0,0.7373,0.7804,0.8008,0.8553,0.9328,0.8153,0.051,38,IHB1316,0.9328,EHN0215,0.7373,0.7863,0.8143,0.8381,0.8578,0.9323,0.8398,0.037,39,NUG0102,0.9323,CTL2527,0.7863
BERTScore_Precision,ch6,0.0,0.8225,0.8508,0.8808,0.9268,0.8394,0.117,115,IOL1223,0.9268,thg1620,0.0,0.0,0.8129,0.8216,0.8719,0.9184,0.8187,0.1416,38,EHN0215,0.9184,UTP0442,0.0,0.0,0.8295,0.8566,0.8793,0.916,0.8358,0.1425,38,IOL1223,0.916,thg1620,0.0,0.8165,0.8426,0.861,0.8854,0.9268,0.8632,0.0272,39,IOL1223,0.9268,AHR0531,0.8165
BERTScore_Recall,ch1,0.7029,0.8679,0.8816,0.8941,0.9358,0.8799,0.0275,115,LHL1942,0.9358,UTP0442,0.7029,0.7029,0.8658,0.8777,0.8938,0.9111,0.8742,0.0341,38,IOL1223,0.9111,UTP0442,0.7029,0.8254,0.873,0.8875,0.9017,0.9335,0.8868,0.0244,38,NIL1922,0.9335,PVV2109,0.8254,0.823,0.866,0.8807,0.8894,0.9358,0.8789,0.022,39,LHL1942,0.9358,PVV2109,0.823
BERTScore_Recall,ch2,0.0,0.6501,0.6684,0.6796,0.6987,0.6604,0.0643,115,NUG0102,0.6987,UTP0442,0.0,0.0,0.6567,0.6752,0.6813,0.6971,0.6527,0.1099,38,MIN0453,0.6971,UTP0442,0.0,0.6357,0.6529,0.6654,0.6825,0.6972,0.6665,0.0165,38,SAP2842,0.6972,NAN277,0.6357,0.6349,0.6479,0.6594,0.6743,0.6987,0.6619,0.0164,39,NUG0102,0.6987,NAN277,0.6349
BERTScore_Recall,ch3,0.0,0.84,0.8464,0.8562,0.9044,0.8412,0.0801,115,aea2442,0.9044,UTP0442,0.0,0.0,0.8426,0.846,0.8571,0.8752,0.8275,0.1384,38,EHJ2314,0.8752,UTP0442,0.0,0.8136,0.8396,0.846,0.8576,0.9044,0.8489,0.0147,38,aea2442,0.9044,thg1620,0.8136,0.8235,0.8417,0.8471,0.8514,0.8715,0.8472,0.0109,39,EHJ2314,0.8715,LHL1942,0.8235
BERTScore_Recall,ch4,0.0,0.8281,0.8412,0.8581,0.8852,0.8342,0.0809,115,VAG2434,0.8852,UTP0442,0.0,0.0,0.8403,0.8517,0.8644,0.8769,0.829,0.139,38,AAL1220,0.8769,UTP0442,0.0,0.8105,0.8225,0.8349,0.8538,0.8683,0.8375,0.0173,38,IAR1116,0.8683,AMR2620,0.8105,0.7969,0.823,0.8353,0.8478,0.8852,0.8361,0.0217,39,VAG2434,0.8852,aal1412,0.7969
