metric,chapter,n,chi2,df,p,w,w_label,sig_05,degenerate
BLEU,ch1,26,9.920000000000009,2,0.007012927832585392,0.1834319526627219,moderate,True,False
BLEU,ch2,26,,2,,0.0,weak,False,True
BLEU,ch3,26,,2,,0.0,weak,False,True
BLEU,ch4,26,4.795454545454561,2,0.0909243649258084,0.07803254437869822,weak,False,False
BLEU,ch5,26,14.519480519480519,2,0.000703290684789923,0.20673076923076922,moderate,True,False
BLEU,ch6,26,18.932038834951456,2,7.743904730182648e-05,0.3605769230769231,strong,True,False
ROUGE-1,ch1,26,9.960784313725496,2,0.006871367375191029,0.1878698224852071,moderate,True,False
ROUGE-1,ch2,26,2.153846153846189,2,0.3406420441574351,0.04142011834319527,weak,False,False
ROUGE-1,ch3,26,2.8543689320388523,2,0.23998365406564293,0.05436390532544379,weak,False,False
ROUGE-1,ch4,26,9.0,2,0.011108996538242308,0.17307692307692307,moderate,True,False
ROUGE-1,ch5,26,13.0,2,0.0015034391929775717,0.25,moderate,True,False
ROUGE-1,ch6,26,5.615384615384642,2,0.060344087422738564,0.10798816568047337,moderate,False,False
ROUGE-2,ch1,26,5.846153846153868,2,0.05376799253902047,0.11242603550295859,moderate,False,False
ROUGE-2,ch2,26,2.1555555555555856,2,0.34035102149752205,0.03587278106508876,weak,False,False
ROUGE-2,ch3,26,4.09708737864079,2,0.12892251818214734,0.07803254437869822,weak,False,False
ROUGE-2,ch4,26,8.07843137254906,2,0.017611279768713017,0.15236686390532544,moderate,True,False
ROUGE-2,ch5,26,11.615384615384642,2,0.0030043552061122425,0.22337278106508876,moderate,True,False
ROUGE-2,ch6,26,14.076923076923094,2,0.0008774754866451763,0.27071005917159763,moderate,True,False
ROUGE-L,ch1,26,8.17475728155342,2,0.01678317066517045,0.15569526627218935,moderate,True,False
ROUGE-L,ch2,26,1.6153846153846416,2,0.44588584720539093,0.03106508875739645,weak,False,False
ROUGE-L,ch3,26,2.8543689320388523,2,0.23998365406564293,0.05436390532544379,weak,False,False
