metric,chapter,n,H,p,eps2,eps2_label,sig_05,degenerate
BLEU,ch1,113,5.202238715298991,0.07419048603001627,0.04644855995802671,small,False,False
BLEU,ch2,113,,,,—,False,True
BLEU,ch3,113,,,,—,False,True
BLEU,ch4,113,6.054457582351841,0.04844971654262361,0.054057656985284294,small,True,False
BLEU,ch5,113,19.797156431181037,5.0246070374246516e-05,0.1767603252784021,large,True,False
BLEU,ch6,113,7.674975406997106,0.021547667531260705,0.06852656613390273,moderate,True,False
ROUGE-1,ch1,113,9.693088169069503,0.007855478562698665,0.0865454300809777,moderate,True,False
ROUGE-1,ch2,113,1.2194949998662357,0.5434880825277557,0.010888348213091389,small,False,False
ROUGE-1,ch3,113,4.50952480566569,0.10489846435360498,0.0402636143363008,small,False,False
ROUGE-1,ch4,113,10.47621899522895,0.00531028646159103,0.09353766960025847,moderate,True,False
ROUGE-1,ch5,113,15.636663419467085,0.0004022922635537167,0.13961306624524183,moderate,True,False
ROUGE-1,ch6,113,4.286437531256862,0.117276748482332,0.038271763671936264,small,False,False
ROUGE-2,ch1,113,6.443938176047163,0.039876460642161576,0.05753516228613538,small,True,False
ROUGE-2,ch2,113,5.037692470143052,0.08055249179540915,0.04497939705484868,small,False,False
ROUGE-2,ch3,113,3.156744517314346,0.2063106454057629,0.028185218904592375,small,False,False
ROUGE-2,ch4,113,8.415791831390813,0.014877639235452583,0.07514099849456082,moderate,True,False
ROUGE-2,ch5,113,15.043828714795753,0.0005410957231179745,0.13431989923924778,moderate,True,False
ROUGE-2,ch6,113,6.83844705363463,0.032737845131380096,0.06105756297888062,moderate,True,False
ROUGE-L,ch1,113,8.833374281605721,0.012074166112880749,0.07886941322862251,moderate,True,False
ROUGE-L,ch2,113,0.9197605109647812,0.6313592427886215,0.008212147419328403,negligible,False,False
ROUGE-L,ch3,113,4.50952480566569,0.10489846435360498,0.0402636143363008,small,False,False
ROUGE-L,ch4,113,10.47621899522895,0.00531028646159103,0.09353766960025847,moderate,True,False
ROUGE-L,ch5,113,14.439543999312942,0.0007319692891058842,0.12892449999386554,moderate,True,False
