metric,chapter,pair,n_a,n_b,U,p,r,r_label,direction,median_a,median_b,bonf_sig,degenerate
BLEU,ch1,Form vs Ask,37,37,567.0,0.20587947582786115,-0.17165814463111762,small,Ask > Form,0.1644969387006633,0.2047499379512974,False,False
BLEU,ch1,Form vs Chat,37,39,804.5,0.3911975431295873,0.11503811503811501,small,Form > Chat,0.1644969387006633,0.1476690198576085,False,False
BLEU,ch1,Ask vs Chat,37,39,945.0,0.020466115340201794,0.30977130977130973,medium,Ask > Chat,0.2047499379512974,0.1476690198576085,False,False
BLEU,ch2,Form vs Ask,37,37,1028.0,0.00020876824205405659,0.5018261504747992,large,Form > Ask,0.1306553105799543,0.1000843740470858,True,False
BLEU,ch2,Form vs Chat,37,39,918.0,0.04165660250871108,0.2723492723492724,small,Form > Chat,0.1306553105799543,0.1194365489777643,False,False
BLEU,ch2,Ask vs Chat,37,39,620.5,0.2962745974348696,-0.13998613998613996,small,Chat > Ask,0.1000843740470858,0.1194365489777643,False,False
BLEU,ch3,Form vs Ask,37,37,976.0,0.0016506319759983195,0.4258582907231556,medium,Form > Ask,0.1043450400050206,0.0714070452509115,True,False
BLEU,ch3,Form vs Chat,37,39,1145.0,1.0775121904429918e-05,0.586971586971587,large,Form > Chat,0.1043450400050206,0.0638181334017036,True,False
BLEU,ch3,Ask vs Chat,37,39,842.0,0.21022744819591932,0.16701316701316693,small,Ask > Chat,0.0714070452509115,0.0638181334017036,False,False
BLEU,ch4,Form vs Ask,37,37,935.0,0.006827405520190438,0.36596055514974424,medium,Form > Ask,0.1066157694808963,0.0507709838259376,True,False
BLEU,ch4,Form vs Chat,37,39,840.0,0.21956156406093263,0.1642411642411643,small,Form > Chat,0.1066157694808963,0.0973141387361927,False,False
BLEU,ch4,Ask vs Chat,37,39,671.0,0.6004735286307503,-0.06999306999306998,negligible,Chat > Ask,0.0507709838259376,0.0973141387361927,False,False
