metric,chapter,All_n,All_min,All_q1,All_median,All_q3,All_max,All_mean,All_std,All_best_id,All_best_score,All_worst_id,All_worst_score,form_n,form_min,form_q1,form_median,form_q3,form_max,form_mean,form_std,form_best_id,form_best_score,form_worst_id,form_worst_score,ask_n,ask_min,ask_q1,ask_median,ask_q3,ask_max,ask_mean,ask_std,ask_best_id,ask_best_score,ask_worst_id,ask_worst_score,chat_n,chat_min,chat_q1,chat_median,chat_q3,chat_max,chat_mean,chat_std,chat_best_id,chat_best_score,chat_worst_id,chat_worst_score
BLEU,ch1,113,0.0,0.132,0.1645,0.2391,0.366,0.1811,0.0801,NIL1922,0.366,PVV2109,0.0,37,0.0,0.1309,0.1645,0.2332,0.3363,0.1785,0.0771,AAL1220,0.3363,PVV2109,0.0,37,0.0,0.1433,0.2047,0.2761,0.366,0.1996,0.085,NIL1922,0.366,PVV2109,0.0,39,0.0,0.1279,0.1477,0.1752,0.3533,0.1661,0.0764,EHN0215,0.3533,PVV2109,0.0
BLEU,ch2,113,0.0,0.0835,0.1111,0.1447,0.3474,0.1212,0.0595,NNL2811,0.3474,thg1620,0.0,37,0.0819,0.1036,0.1307,0.1776,0.3474,0.1454,0.0565,NNL2811,0.3474,ARN2026,0.0819,37,0.0,0.0782,0.1001,0.1296,0.1625,0.0977,0.0384,UOR0445,0.1625,thg1620,0.0,39,0.0,0.0652,0.1194,0.1488,0.3056,0.1205,0.07,IOL1223,0.3056,EHJ2314,0.0
BLEU,ch3,113,0.0,0.0593,0.081,0.1068,0.2097,0.0813,0.0499,NOC2416,0.2097,thg1620,0.0,37,0.0532,0.079,0.1043,0.1227,0.2015,0.1103,0.0411,NUG0102,0.2015,Jer1205,0.0532,37,0.0,0.0593,0.0714,0.1047,0.2097,0.0765,0.0517,NOC2416,0.2097,thg1620,0.0,39,0.0,0.0184,0.0638,0.0879,0.1474,0.0584,0.0429,UOR0445,0.1474,TIL1618,0.0
BLEU,ch4,113,0.0,0.0395,0.091,0.1393,0.3253,0.0973,0.0754,aea2442,0.3253,RIT1851,0.0,37,0.0281,0.0749,0.1066,0.1371,0.3253,0.1233,0.0757,aea2442,0.3253,KIR2546,0.0281,37,0.0,0.0191,0.0508,0.1477,0.2391,0.0814,0.0818,AHR0531,0.2391,RIT1851,0.0,39,0.0,0.0189,0.0973,0.1392,0.2069,0.0876,0.063,EHN0215,0.2069,IOL1223,0.0
BLEU,ch5,113,0.0,0.0,0.0,0.0541,0.3855,0.0435,0.0756,NUG0102,0.3855,EHN0215,0.0,37,0.0,0.0,0.0315,0.056,0.2103,0.0382,0.0435,AHR0531,0.2103,EHN0215,0.0,37,0.0,0.0,0.0,0.0,0.3175,0.0227,0.0734,IHB1316,0.3175,EHN0215,0.0,39,0.0,0.0,0.0441,0.1013,0.3855,0.0681,0.0942,NUG0102,0.3855,RIT1851,0.0
BLEU,ch6,113,0.0,0.0334,0.0655,0.1138,0.2654,0.0799,0.066,EHN0215,0.2654,IAR1116,0.0,37,0.0,0.0342,0.0507,0.1025,0.2654,0.078,0.0681,EHN0215,0.2654,NNL2811,0.0,37,0.0,0.0,0.0477,0.1072,0.2617,0.0698,0.0795,NOC2416,0.2617,IAR1116,0.0,39,0.0,0.0549,0.0854,0.1217,0.187,0.0912,0.047,NOC2416,0.187,PVV2109,0.0
ROUGE-1,ch1,113,0.1687,0.5167,0.5664,0.625,0.8704,0.5709,0.1141,NIL1922,0.8704,PVV2109,0.1687,37,0.3048,0.4938,0.5306,0.6207,0.7407,0.5496,0.0968,EII0925,0.7407,PVV2109,0.3048,37,0.1687,0.5455,0.6034,0.6916,0.8704,0.6054,0.1293,NIL1922,0.8704,PVV2109,0.1687,39,0.2178,0.5157,0.5574,0.5898,0.8269,0.5585,0.1092,EHN0215,0.8269,aal1412,0.2178
ROUGE-1,ch2,113,0.1509,0.341,0.4257,0.4837,0.7368,0.4136,0.109,NNL2811,0.7368,EHJ2314,0.1509,37,0.3152,0.4017,0.4492,0.5041,0.7368,0.4571,0.0942,NNL2811,0.7368,Jer1205,0.3152,37,0.1748,0.3279,0.3857,0.4454,0.5253,0.3733,0.0932,NOC2416,0.5253,thg1620,0.1748,39,0.1509,0.3053,0.411,0.516,0.6667,0.4104,0.1222,NAB0152,0.6667,EHJ2314,0.1509
ROUGE-1,ch3,113,0.0588,0.3784,0.469,0.5882,0.7639,0.4672,0.1635,NIL1922,0.7639,thg1620,0.0588,37,0.4564,0.5549,0.6038,0.6536,0.7639,0.5998,0.0843,NIL1922,0.7639,IHB1316,0.4564,37,0.0588,0.3333,0.3906,0.4431,0.5576,0.3662,0.1202,UAB0821,0.5576,thg1620,0.0588,39,0.0594,0.3322,0.4469,0.5878,0.6897,0.4374,0.1743,NUG0102,0.6897,PVV2109,0.0594
ROUGE-1,ch4,113,0.1858,0.3529,0.4468,0.5161,0.7647,0.4366,0.1156,aea2442,0.7647,PVV2109,0.1858,37,0.3123,0.398,0.4921,0.5417,0.7647,0.4914,0.1108,aea2442,0.7647,IHB1316,0.3123,37,0.1858,0.2788,0.3864,0.5161,0.6139,0.3927,0.1275,NOL0906,0.6139,PVV2109,0.1858,39,0.2247,0.3612,0.4409,0.491,0.5607,0.4263,0.0864,EII0925,0.5607,IOL1223,0.2247
ROUGE-1,ch5,113,0.075,0.1624,0.2362,0.3243,0.7692,0.2602,0.1305,NUG0102,0.7692,AEB2451,0.075,37,0.1176,0.1765,0.2479,0.3077,0.5333,0.2521,0.0916,AHR0531,0.5333,Jer1205,0.1176,37,0.075,0.1176,0.1833,0.2295,0.5946,0.2118,0.1316,IHB1316,0.5946,AEB2451,0.075,39,0.1212,0.1962,0.3175,0.3669,0.7692,0.3139,0.1433,NUG0102,0.7692,PVV2109,0.1212
ROUGE-1,ch6,113,0.0748,0.2294,0.3066,0.4224,0.6667,0.3313,0.1299,IOL1223,0.6667,OAZ2611,0.0748,37,0.1515,0.212,0.2532,0.3539,0.631,0.3128,0.1369,EHN0215,0.631,AAL1220,0.1515,37,0.0748,0.223,0.2831,0.4467,0.6667,0.3304,0.1565,IOL1223,0.6667,OAZ2611,0.0748,39,0.1844,0.2856,0.3364,0.4106,0.5172,0.3496,0.0899,EII0925,0.5172,LHL1942,0.1844
ROUGE-2,ch1,113,0.0202,0.3051,0.3689,0.4685,0.7547,0.3859,0.1446,NIL1922,0.7547,aal1412,0.0202,37,0.0388,0.2708,0.3459,0.4471,0.6286,0.3634,0.1309,aea2442,0.6286,PVV2109,0.0388,37,0.0247,0.3393,0.4333,0.5294,0.7547,0.4302,0.1578,NIL1922,0.7547,PVV2109,0.0247,39,0.0202,0.2978,0.3659,0.4001,0.7451,0.3651,0.1377,EHN0215,0.7451,aal1412,0.0202
ROUGE-2,ch2,113,0.0192,0.1953,0.2738,0.3273,0.6267,0.2693,0.1087,NNL2811,0.6267,EHJ2314,0.0192,37,0.2249,0.2749,0.3034,0.38,0.6267,0.3316,0.0932,NNL2811,0.6267,IHB1316,0.2249,37,0.0351,0.1845,0.2165,0.2692,0.3469,0.2155,0.0774,NOC2416,0.3469,NAB0152,0.0351,39,0.0192,0.1625,0.2738,0.3456,0.5158,0.2612,0.1194,NAB0152,0.5158,EHJ2314,0.0192
ROUGE-2,ch3,113,0.0,0.1864,0.2937,0.4153,0.6043,0.2981,0.1482,EHN0215,0.6043,PVV2109,0.0,37,0.2313,0.3608,0.4153,0.4892,0.6043,0.4254,0.0972,EHN0215,0.6043,IHB1316,0.2313,37,0.02,0.1538,0.2018,0.2745,0.3436,0.1983,0.0892,UAB0821,0.3436,thg1620,0.02,39,0.0,0.1677,0.2297,0.4058,0.5035,0.272,0.1485,NUG0102,0.5035,PVV2109,0.0
ROUGE-2,ch4,113,0.0663,0.1722,0.2581,0.3077,0.5755,0.2501,0.1088,NNL2811,0.5755,PVV2109,0.0663,37,0.1635,0.2474,0.2979,0.3484,0.5755,0.3171,0.1048,NNL2811,0.5755,EII0925,0.1635,37,0.0663,0.1201,0.1749,0.3077,0.4262,0.2149,0.1131,IOL1223,0.4262,PVV2109,0.0663,39,0.069,0.158,0.2364,0.2818,0.3429,0.2199,0.0765,EII0925,0.3429,IOL1223,0.069
ROUGE-2,ch5,113,0.0,0.0508,0.1138,0.1818,0.5946,0.1306,0.1128,NUG0102,0.5946,IAR1116,0.0,37,0.0296,0.0699,0.1277,0.1681,0.3256,0.1344,0.0709,AHR0531,0.3256,KIR2546,0.0296,37,0.0,0.0202,0.0508,0.1212,0.4571,0.087,0.1065,IHB1316,0.4571,IAR1116,0.0,39,0.0,0.0619,0.1481,0.2257,0.5946,0.1684,0.1365,NUG0102,0.5946,PVV2109,0.0
ROUGE-2,ch6,113,0.0156,0.0833,0.1397,0.257,0.5134,0.1756,0.118,IOL1223,0.5134,NAB0152,0.0156,37,0.0417,0.0826,0.1167,0.2442,0.4578,0.1658,0.12,EHN0215,0.4578,IAR1116,0.0417,37,0.0156,0.0618,0.1146,0.2036,0.5134,0.1628,0.1406,IOL1223,0.5134,NAB0152,0.0156,39,0.0288,0.1324,0.1831,0.2608,0.365,0.197,0.089,IOL1223,0.365,LHL1942,0.0288
ROUGE-L,ch1,113,0.1446,0.4628,0.5238,0.6195,0.8704,0.5344,0.1289,NIL1922,0.8704,PVV2109,0.1446,37,0.2667,0.4425,0.4941,0.5962,0.7407,0.5176,0.1101,EII0925,0.7407,PVV2109,0.2667,37,0.1446,0.5111,0.5862,0.6408,0.8704,0.5763,0.1398,NIL1922,0.8704,PVV2109,0.1446,39,0.1782,0.4616,0.5082,0.5638,0.8269,0.5107,0.1282,EHN0215,0.8269,aal1412,0.1782
ROUGE-L,ch2,113,0.0943,0.2821,0.3547,0.4228,0.7105,0.3513,0.111,NNL2811,0.7105,EHJ2314,0.0943,37,0.2738,0.3406,0.3853,0.4481,0.7105,0.4036,0.0963,NNL2811,0.7105,YÜI1752,0.2738,37,0.0971,0.2459,0.3071,0.366,0.4545,0.2993,0.0831,NOC2416,0.4545,thg1620,0.0971,39,0.0943,0.2492,0.3547,0.4575,0.6146,0.3511,0.1251,NAB0152,0.6146,EHJ2314,0.0943
