id,user_id,ai_mode,time_seconds
3,EHN0215,form,589
4,EHN0215,chat,1190
5,EHN0215,ask,949
6,RIT1851,form,827
7,RIT1851,ask,1279
8,RIT1851,chat,2001
9,IAR1116,ask,1021
10,IAR1116,form,203
11,IAR1116,chat,396
12,TIL1618,chat,1008
13,TIL1618,ask,1214
14,TIL1618,form,312
15,NOC2416,form,509
16,NOC2416,ask,397
17,NOC2416,chat,1224
18,NUG0102,chat,1283
19,NUG0102,ask,1050
20,IHL0436,chat,898
21,NUG0102,form,409
22,IHL0436,form,312
23,IHL0436,ask,766
24,NNL2811,form,795
25,AAL1220,form,418
26,AAL1220,chat,581
27,AAL1220,ask,697
28,thg1620,chat,3001
29,IOL1223,ask,2954
30,IOL1223,ask,3099
31,IOL1223,form,1073
32,thg1620,ask,2344
34,thg1620,form,669
35,IOL1223,chat,927
36,IOL1223,chat,1038
37,NAN277,chat,657
38,NAN277,ask,346
39,EII0925,ask,1045
40,AHR0531,chat,1052
41,AHR0531,form,251
42,EII0925,chat,393
43,AHR0531,ask,312
44,EII0925,form,331
46,MIN0453,form,444
47,MIN0453,chat,746
48,ENB1054,form,293
49,MIN0453,ask,858
50,ENB1054,ask,866
51,NOL0906,ask,638
52,ENB1054,chat,523
53,ATN238,form,361
54,YÜI1752,form,314
55,OAZ2611,chat,610
56,Jer1205,form,1158
57,OAZ2611,ask,505
58,OAZ2611,form,210
59,PVV2109,ask,879
60,PVV2109,form,272
61,NIL1922,form,579
62,NIL1922,ask,497
63,PVV2109,chat,460
64,NIL1922,chat,455
65,aea2442,ask,1314
66,NLL0820,form,583
67,aea2442,form,719
68,aea2442,chat,1792
69,IHB1316,form,403
70,IHB1316,form,420
71,IHB1316,ask,299
72,IHB53,chat,389
73,DAB1519,chat,637
74,IIV2704,form,1993
75,DAB1519,ask,2196
76,SAP2842,ask,832
77,ANN1112,chat,1129
78,ANN1112,form,331
79,ANN1112,ask,717
80,AEB2451,form,604
81,AEB2451,ask,925
82,AEB2451,chat,616
83,LHL1942,chat,316
84,aal1412,chat,1539
85,CTL2527,form,1620
86,CTL2527,ask,1438
87,CTL2527,chat,996
88,VAG2434,form,339
89,VAG2434,chat,371
90,VAG2434,ask,289
91,KIR2546,form,263
92,UOR0445,ask,1459
93,UOR0445,form,1157
94,UOR0445,chat,6199
95,ARN2026,ask,607
96,EHJ2314,form,600
97,EHJ2314,ask,327
98,ARN2026,chat,434
99,ARN2026,form,225
100,EHJ2314,chat,232
101,ALB0226,chat,182
102,NAB0152,chat,1109
103,NAB0152,ask,652
104,AMR2620,form,558
105,AMR2620,chat,593
106,AMR2620,chat,722
107,AMR2620,chat,755
108,AMR2620,ask,617
109,UAB0821,ask,920
110,UAB0821,form,261
111,UAB0821,chat,468
112,DLZ2800,form,471
113,DLZ2800,chat,717
114,DLZ2800,ask,953
116,UTP0442,ask,851
117,UTP0442,chat,545
118,LOT2142,ask,510
