,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,SBERT_Similarity
count,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
mean,0.1267,0.4675,0.2577,0.3484,0.3654,0.886,0.9082,0.8968,0.986
std,0.0552,0.0874,0.0786,0.0903,0.0672,0.0159,0.0169,0.0129,0.0047
min,0.0469,0.3219,0.1206,0.1944,0.2336,0.8609,0.8614,0.8629,0.9705
25%,0.0834,0.4133,0.2003,0.2967,0.3297,0.8728,0.9075,0.8923,0.9831
median,0.1224,0.4492,0.2386,0.3276,0.3668,0.8853,0.9142,0.8954,0.9869
75%,0.1474,0.5239,0.2864,0.3851,0.4062,0.8988,0.9181,0.9051,0.9896
max,0.2463,0.6176,0.4287,0.5452,0.488,0.9179,0.9253,0.918,0.9926
highest_id,29.0,43.0,29.0,29.0,29.0,29.0,108.0,29.0,29.0
lowest_id,59.0,114.0,59.0,59.0,57.0,32.0,75.0,32.0,32.0
