,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,SBERT_Similarity
count,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
mean,0.1248,0.4771,0.2971,0.3782,0.4012,0.8882,0.9184,0.9029,0.9848
std,0.0507,0.1138,0.0849,0.1037,0.0759,0.0139,0.0239,0.0164,0.0114
min,0.0002,0.1027,0.0673,0.0893,0.0588,0.8622,0.7768,0.8186,0.9195
25%,0.0876,0.4132,0.2402,0.3098,0.3654,0.8801,0.9185,0.8992,0.9839
median,0.1092,0.4848,0.2887,0.3815,0.4118,0.889,0.9212,0.9053,0.988
75%,0.1578,0.5663,0.3605,0.4603,0.4402,0.8983,0.9251,0.9113,0.9894
max,0.2297,0.6441,0.4549,0.5656,0.5142,0.9124,0.9355,0.9201,0.9921
highest_id,67.0,24.0,67.0,67.0,3.0,41.0,44.0,104.0,21.0
lowest_id,115.0,115.0,115.0,115.0,115.0,110.0,115.0,115.0,115.0
