,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,SBERT_Similarity
count,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
mean,0.1306,0.4815,0.2799,0.3693,0.3833,0.8885,0.9116,0.8998,0.9856
std,0.0499,0.1015,0.0824,0.0952,0.0732,0.0206,0.0259,0.0213,0.0144
min,0.0002,0.0456,0.0114,0.0388,0.0588,0.7298,0.7197,0.7247,0.8534
25%,0.0937,0.4214,0.2301,0.3083,0.3565,0.8786,0.9126,0.894,0.9849
median,0.1259,0.4848,0.2657,0.3564,0.386,0.8907,0.9179,0.9038,0.9882
75%,0.1583,0.56,0.3382,0.437,0.4294,0.8996,0.9219,0.9094,0.9903
max,0.2463,0.6446,0.4549,0.5656,0.5142,0.9219,0.9355,0.9219,0.9936
highest_id,29.0,4.0,67.0,67.0,3.0,36.0,44.0,4.0,37.0
lowest_id,115.0,119.0,119.0,119.0,115.0,119.0,119.0,119.0,119.0
