Variable,Level,Count,Share
Gender,Male,41,0.6212121212121212
Gender,Female,24,0.36363636363636365
Gender,Other,1,0.015151515151515152
Age,25,18,0.2608695652173913
Age,24,18,0.2608695652173913
Age,26,10,0.14492753623188406
Age,23,8,0.11594202898550725
Age,27,5,0.07246376811594203
Age,30,3,0.043478260869565216
Age,28,2,0.028985507246376812
Age,31,1,0.014492753623188406
Age,21,1,0.014492753623188406
Age,22,1,0.014492753623188406
Age,29,1,0.014492753623188406
Age,40,1,0.014492753623188406
Degree,Bachelor,60,0.8823529411764706
Degree,Master,6,0.08823529411764706
Degree,Other,2,0.029411764705882353
Profession,Student,56,0.8115942028985508
Profession,Employed,10,0.14492753623188406
Profession,PhD,2,0.028985507246376812
Profession,Staatsexamen,1,0.014492753623188406
Field,IT,41,0.5942028985507246
Field,BWL,16,0.2318840579710145
Field,Other,6,0.08695652173913043
Field,Research,4,0.057971014492753624
Field,HR,2,0.028985507246376812
