mode,metric,n,mean,median,std,min,max
Form,AI_support,69,3.8575,4.0,0.7698,1.8333,5.0
Form,AI_confidence,69,3.5797,4.0,0.8978,1.0,5.0
Form,AI_correctness,69,3.4928,3.5,0.9135,1.0,5.0
Form,AI_reuse,69,3.9855,4.0,1.1439,1.0,5.0
Form,SUS,69,78.6232,80.0,16.0911,40.0,100.0
Form,TLX_demand,69,4.8522,4.2,3.2791,1.0,15.6
Form,TLX_performance,69,8.7101,8.0,5.4802,1.0,21.0
Ask,AI_support,69,3.9686,4.0,0.6244,2.5,5.0
Ask,AI_confidence,69,3.7391,4.0,0.8686,2.0,5.0
Ask,AI_correctness,69,3.7681,4.0,0.7305,1.5,5.0
Ask,AI_reuse,69,3.5507,4.0,1.1573,1.0,5.0
Ask,SUS,69,72.971,72.5,15.3589,32.5,100.0
Ask,TLX_demand,69,5.8551,5.2,3.4847,1.0,18.4
Ask,TLX_performance,69,8.6812,8.0,5.6425,1.0,19.0
Chat,AI_support,69,3.7971,4.0,0.8204,1.6667,5.0
Chat,AI_confidence,69,3.8116,4.0,0.8791,2.0,5.0
Chat,AI_correctness,69,3.7464,4.0,0.7841,2.0,5.0
Chat,AI_reuse,69,3.4203,4.0,1.387,1.0,5.0
Chat,SUS,69,72.9348,75.0,19.0296,5.0,100.0
Chat,TLX_demand,69,5.7217,4.6,3.798,1.0,19.8
Chat,TLX_performance,69,9.3913,10.0,6.3645,1.0,21.0
