Mode,Question,Mean,Median,Mode_Value,Std_Dev,Variance,Min,Q1,Q2,Q3,Max
All,1_sus,3.318840579710145,3.0,4,1.1426347549412552,1.3056141831996624,1.0,3.0,3.0,4.0,5.0
All,2_sus,2.0,2.0,1,1.1191189322257127,1.2524271844660195,1.0,1.0,2.0,3.0,5.0
All,3_sus,4.125603864734299,4.0,5,0.9722716356950997,0.9453121335772245,1.0,4.0,4.0,5.0,5.0
All,4_sus,1.5217391304347827,1.0,1,0.8858438298255608,0.784719290840017,1.0,1.0,1.0,2.0,5.0
All,5_sus,3.7681159420289854,4.0,4,1.0494324985516994,1.1013085690164626,1.0,3.0,4.0,5.0,5.0
All,6_sus,2.072463768115942,2.0,1,0.9997889182034532,0.9995778809624313,1.0,1.0,2.0,3.0,5.0
All,7_sus,4.111111111111111,4.0,5,0.9814899621732346,0.9633225458468174,1.0,4.0,4.0,5.0,5.0
All,8_sus,2.033816425120773,2.0,1,1.1294024647138508,1.275549927301721,1.0,1.0,2.0,3.0,5.0
All,9_sus,3.8550724637681157,4.0,4,1.0419645697558169,1.0856901646264248,1.0,3.0,4.0,5.0,5.0
All,10_sus,1.6135265700483092,1.0,1,0.9005988450083707,0.8110782796304115,1.0,1.0,1.0,2.0,5.0
Form,1_sus,3.5217391304347827,4.0,4,1.0928739184071175,1.1943734015345266,1.0,3.0,4.0,4.0,5.0
Form,2_sus,1.6376811594202898,1.0,1,0.9230864864960254,0.852088661551577,1.0,1.0,1.0,2.0,4.0
Form,3_sus,4.3768115942028984,5.0,5,0.9091277214898053,0.8265132139812449,1.0,4.0,5.0,5.0,5.0
Form,4_sus,1.5217391304347827,1.0,1,0.850755644260095,0.7237851662404092,1.0,1.0,1.0,2.0,5.0
Form,5_sus,4.0,4.0,4,0.9235481451827989,0.8529411764705882,1.0,4.0,4.0,5.0,5.0
Form,6_sus,2.1594202898550723,2.0,2,0.9644136957971362,0.9300937766410913,1.0,1.0,2.0,3.0,5.0
Form,7_sus,4.304347826086956,5.0,5,0.9595395315108018,0.920716112531969,2.0,4.0,5.0,5.0,5.0
Form,8_sus,1.6521739130434783,1.0,1,0.9366097648767089,0.877237851662404,1.0,1.0,1.0,2.0,5.0
Form,9_sus,3.8260869565217392,4.0,4,1.0425720702853738,1.0869565217391306,1.0,3.0,4.0,5.0,5.0
Form,10_sus,1.608695652173913,1.0,1,0.8612130860243834,0.741687979539642,1.0,1.0,1.0,2.0,4.0
Ask,1_sus,3.217391304347826,3.0,4,1.0828823902436238,1.172634271099744,1.0,3.0,3.0,4.0,5.0
Ask,2_sus,2.246376811594203,2.0,1,1.2175891935132608,1.4825234441602728,1.0,1.0,2.0,3.0,5.0
Ask,3_sus,4.0144927536231885,4.0,4,0.8133582096177551,0.6615515771526,2.0,4.0,4.0,5.0,5.0
Ask,4_sus,1.4927536231884058,1.0,1,0.7974811155019708,0.6359761295822677,1.0,1.0,1.0,2.0,4.0
Ask,5_sus,3.6666666666666665,4.0,4,1.0242165824878726,1.0490196078431373,1.0,3.0,4.0,4.0,5.0
Ask,6_sus,2.0434782608695654,2.0,1,1.0632190661423897,1.1304347826086953,1.0,1.0,2.0,3.0,5.0
Ask,7_sus,4.0,4.0,4,0.954863710632231,0.9117647058823529,1.0,4.0,4.0,5.0,5.0
Ask,8_sus,2.1594202898550723,2.0,1,1.1196531554038496,1.253623188405797,1.0,1.0,2.0,3.0,5.0
Ask,9_sus,3.8405797101449277,4.0,4,0.9334185809321167,0.8712702472293266,1.0,3.0,4.0,4.0,5.0
Ask,10_sus,1.608695652173913,1.0,1,0.8083642034516341,0.6534526854219949,1.0,1.0,1.0,2.0,4.0
Chat,1_sus,3.217391304347826,3.0,4,1.2351418734584025,1.5255754475703325,1.0,2.0,3.0,4.0,5.0
Chat,2_sus,2.1159420289855073,2.0,2,1.1185104575500238,1.2510656436487633,1.0,1.0,2.0,3.0,5.0
Chat,3_sus,3.9855072463768115,4.0,5,1.131016638240185,1.2791986359761296,1.0,3.0,4.0,5.0,5.0
Chat,4_sus,1.5507246376811594,1.0,1,1.0078549131703953,1.015771526001705,1.0,1.0,1.0,2.0,5.0
Chat,5_sus,3.63768115942029,4.0,4,1.1627934733010747,1.3520886615515773,1.0,3.0,4.0,5.0,5.0
Chat,6_sus,2.0144927536231885,2.0,1,0.9775833592136395,0.9556692242114238,1.0,1.0,2.0,3.0,5.0
Chat,7_sus,4.028985507246377,4.0,4,1.0141791014346881,1.0285592497868714,1.0,4.0,4.0,5.0,5.0
Chat,8_sus,2.289855072463768,2.0,1,1.225962398369762,1.5029838022165392,1.0,1.0,2.0,3.0,5.0
Chat,9_sus,3.898550724637681,4.0,4,1.1522985665007839,1.3277919863597614,1.0,4.0,4.0,5.0,5.0
Chat,10_sus,1.6231884057971016,1.0,1,1.030440358113124,1.0618073316283034,1.0,1.0,1.0,2.0,5.0
