item,item_text,mode,n,mean,sd,median,q1,q3
1,I think that I would like to use this system frequently.,All,207,3.3188,1.1426,3.0,3.0,4.0
1,I think that I would like to use this system frequently.,Form,69,3.5217,1.0929,4.0,3.0,4.0
1,I think that I would like to use this system frequently.,Ask,69,3.2174,1.0829,3.0,3.0,4.0
1,I think that I would like to use this system frequently.,Chat,69,3.2174,1.2351,3.0,2.0,4.0
2,I found the system unnecessarily complex.,All,207,2.0,1.1191,2.0,1.0,3.0
2,I found the system unnecessarily complex.,Form,69,1.6377,0.9231,1.0,1.0,2.0
2,I found the system unnecessarily complex.,Ask,69,2.2464,1.2176,2.0,1.0,3.0
2,I found the system unnecessarily complex.,Chat,69,2.1159,1.1185,2.0,1.0,3.0
3,I thought the system was easy to use.,All,207,4.1256,0.9723,4.0,4.0,5.0
3,I thought the system was easy to use.,Form,69,4.3768,0.9091,5.0,4.0,5.0
3,I thought the system was easy to use.,Ask,69,4.0145,0.8134,4.0,4.0,5.0
3,I thought the system was easy to use.,Chat,69,3.9855,1.131,4.0,3.0,5.0
4,I think that I would need the support of a technical person to be able to use this system.,All,207,1.5217,0.8858,1.0,1.0,2.0
4,I think that I would need the support of a technical person to be able to use this system.,Form,69,1.5217,0.8508,1.0,1.0,2.0
4,I think that I would need the support of a technical person to be able to use this system.,Ask,69,1.4928,0.7975,1.0,1.0,2.0
4,I think that I would need the support of a technical person to be able to use this system.,Chat,69,1.5507,1.0079,1.0,1.0,2.0
5,I found the various functions in this system were well integrated.,All,207,3.7681,1.0494,4.0,3.0,5.0
5,I found the various functions in this system were well integrated.,Form,69,4.0,0.9235,4.0,4.0,5.0
5,I found the various functions in this system were well integrated.,Ask,69,3.6667,1.0242,4.0,3.0,4.0
5,I found the various functions in this system were well integrated.,Chat,69,3.6377,1.1628,4.0,3.0,5.0
6,I thought there was too much inconsistency in this system.,All,207,2.0725,0.9998,2.0,1.0,3.0
6,I thought there was too much inconsistency in this system.,Form,69,2.1594,0.9644,2.0,1.0,3.0
6,I thought there was too much inconsistency in this system.,Ask,69,2.0435,1.0632,2.0,1.0,3.0
6,I thought there was too much inconsistency in this system.,Chat,69,2.0145,0.9776,2.0,1.0,3.0
7,I would imagine that most people would learn to use this system very quickly.,All,207,4.1111,0.9815,4.0,4.0,5.0
7,I would imagine that most people would learn to use this system very quickly.,Form,69,4.3043,0.9595,5.0,4.0,5.0
7,I would imagine that most people would learn to use this system very quickly.,Ask,69,4.0,0.9549,4.0,4.0,5.0
7,I would imagine that most people would learn to use this system very quickly.,Chat,69,4.029,1.0142,4.0,4.0,5.0
8,I found the system very cumbersome to use.,All,207,2.0338,1.1294,2.0,1.0,3.0
8,I found the system very cumbersome to use.,Form,69,1.6522,0.9366,1.0,1.0,2.0
8,I found the system very cumbersome to use.,Ask,69,2.1594,1.1197,2.0,1.0,3.0
8,I found the system very cumbersome to use.,Chat,69,2.2899,1.226,2.0,1.0,3.0
9,I felt very confident using the system.,All,207,3.8551,1.042,4.0,3.0,5.0
9,I felt very confident using the system.,Form,69,3.8261,1.0426,4.0,3.0,5.0
9,I felt very confident using the system.,Ask,69,3.8406,0.9334,4.0,3.0,4.0
9,I felt very confident using the system.,Chat,69,3.8986,1.1523,4.0,4.0,5.0
10,I needed to learn a lot of things before I could get going with this system.,All,207,1.6135,0.9006,1.0,1.0,2.0
10,I needed to learn a lot of things before I could get going with this system.,Form,69,1.6087,0.8612,1.0,1.0,2.0
10,I needed to learn a lot of things before I could get going with this system.,Ask,69,1.6087,0.8084,1.0,1.0,2.0
10,I needed to learn a lot of things before I could get going with this system.,Chat,69,1.6232,1.0304,1.0,1.0,2.0
