Mode,Question,Mean,Median,Mode_Value,Std_Dev,Variance,Min,Q1,Q2,Q3,Max
All,1_tlx_demand,6.309178743961352,5.0,1,4.751194310961914,22.57384738051686,1.0,2.0,5.0,9.5,21.0
All,2_tlx_demand,3.1884057971014492,2.0,1,3.398780602231064,11.551709582102156,1.0,1.0,2.0,4.0,21.0
All,3_tlx_demand,4.888888888888889,4.0,1,4.283885159573016,18.35167206040992,1.0,1.0,4.0,7.0,19.0
All,4_tlx_demand,6.130434782608695,5.0,1,4.572755038813898,20.910088644997888,1.0,3.0,5.0,10.0,20.0
All,5_tlx_demand,6.8647342995169085,5.0,1,5.239048939290781,27.447633788283852,1.0,2.5,5.0,11.0,21.0
All,1_tlx_performance,8.927536231884059,9.0,10,5.822584520839664,33.902490502321655,1.0,4.0,9.0,13.0,21.0
Form,1_tlx_demand,5.768115942028985,5.0,1,4.263887095460005,18.180733162830354,1.0,2.0,5.0,9.0,17.0
Form,2_tlx_demand,2.7681159420289854,1.0,1,2.7124165887757075,7.3572037510656445,1.0,1.0,1.0,4.0,14.0
Form,3_tlx_demand,4.159420289855072,3.0,1,3.821853524780402,14.606564364876386,1.0,1.0,3.0,6.0,15.0
Form,4_tlx_demand,5.681159420289855,4.0,1,4.564868252796338,20.838022165387898,1.0,2.0,4.0,9.0,17.0
Form,5_tlx_demand,5.884057971014493,5.0,1,4.840200019821914,23.42753623188406,1.0,2.0,5.0,8.0,18.0
Form,1_tlx_performance,8.710144927536232,8.0,5,5.480182074249214,30.03239556692242,1.0,4.0,8.0,12.0,21.0
Ask,1_tlx_demand,6.797101449275362,6.0,1,4.6323025342661355,21.45822676896846,1.0,3.0,6.0,10.0,21.0
Ask,2_tlx_demand,3.536231884057971,2.0,1,3.9204580695182556,15.369991474850808,1.0,1.0,2.0,5.0,21.0
Ask,3_tlx_demand,4.971014492753623,4.0,1,4.147894627159925,17.20502983802217,1.0,1.0,4.0,7.0,18.0
Ask,4_tlx_demand,6.391304347826087,5.0,3,4.406603972196156,19.41815856777494,1.0,3.0,5.0,10.0,19.0
Ask,5_tlx_demand,7.579710144927536,6.0,3,5.339656843736885,28.51193520886616,1.0,3.0,6.0,12.0,21.0
Ask,1_tlx_performance,8.681159420289855,8.0,10,5.6425191329217395,31.838022165387898,1.0,4.0,8.0,12.0,19.0
Chat,1_tlx_demand,6.36231884057971,5.0,1,5.310840784473036,28.20502983802217,1.0,2.0,5.0,10.0,21.0
Chat,2_tlx_demand,3.260869565217391,2.0,1,3.4583750600919476,11.960358056265983,1.0,1.0,2.0,4.0,20.0
Chat,3_tlx_demand,5.536231884057971,4.0,1,4.77610384575535,22.81116794543905,1.0,2.0,4.0,8.0,19.0
Chat,4_tlx_demand,6.318840579710145,5.0,3,4.772755874332577,22.779198635976126,1.0,3.0,5.0,10.0,20.0
Chat,5_tlx_demand,7.130434782608695,5.0,1,5.444676416351332,29.644501278772385,1.0,3.0,5.0,11.0,19.0
Chat,1_tlx_performance,9.391304347826088,10.0,1,6.3644633600872105,40.50639386189258,1.0,3.0,10.0,14.0,21.0
